id,name,artist_popularity,followers,genre
000Dq0VqTZpxOP6jQMscVL,Thug Brothers,10,6770,baton rouge rap
000xzvvFu5AXK8ObbkC7wO,Lil Tampa,0,2,
00190FC20vIUv0wXpeTf8S,KRNFX,22,19270,beatboxing
001PORiOWOqoLrxDacjL67,Syte Quavo,0,3,
002HSjuWsGMinkXTa7JcRp,Turbo,54,15491,
002iNaa6ThSKnFrbeNi4WL,Clouddek,0,2,
002nyxOMwdc9EgNEo7ETcF,Radiancematrix,21,959,tibetan folk pop
003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,66,124456,austrian orchestra
0045gL25pTV6JO8TPLu39o,Exclusive on the Beat,0,24,
004cRPgBOiWUUsu3mXXd1W,RAAMIS,23,15112,
004h2uqVUpmOuz4oY6aTqw,EME,29,9815,
004I3BUWosJFY5qrWXW28Z,Doggo Wolf,9,10,
0054zVj9gInlNlXNHzEszt,Allison Gauss,0,10,
005nJcjkbJcDqEDV75nqbq,Ramond,4,174,
006WEcVc11G2pFBmuNAjLU,MikeySoChristian,4,265,
008EiIYpH0BrtCFxCr8yFI,Jimmy Rocket,15,3209,
009vk1RtswaZ36k9Baov7m,Megan Dawson,1,27,
00aCdCEssvGsZu91QDg7Ac,THEREALRUSH,1,184,
00aJuTEqZHSJ0Mt7PNLO5T,RAYA,24,2616,
00AuH5M9ms9SBUVijjpVof,Tres Pajaritos,0,40,
00AUnQaXE6XTTZvr7kgNHb,Sven-David Sandström,16,832,nordic contemporary classical
00AVmbrB51ZRmTRTTrO5iG,Releford,1,352,
00BCWGiYaxkXLJOp3zakyc,dreamfone,32,7792,
00C73Xx0CjkOplGXeBaQUo,FAISOL AMAR,23,36,
00CbbrOpN7TG7oe43Z2Uyy,Tygaloup,0,0,
00CcMzpEMqWrvGuXgBfoUa,IG,0,56,
00Cl61HwBkn1Yew05keM5h,Doe Jackson,9,70,
00CmJgHxGVen5RjRFppVUt,Dolly Valentine,4,873,
00CPWMTPy4oraQjlbkWSQy,Soliloquy,8,150,
00DD0egJ19QHCEP6VryUlR,Moss & Enfasi,0,341,
00dDS6cgpygMkEwebgzXaO,Megan Hutch,0,59,
00dr6XcwbJaxctGToM7Oqr,Dave Evans,5,114,
00dwwnz3V4kRfu3UFYpJLz,Cherub,53,161140,
00e8vexflWhMdk9bPprkqr,Koala Mix,34,11643,cumbia 420
00ESOUu2kJw00iHIulANE6,Masonna,12,10481,japanoise
00EXZMPYEvvx4expcDQsKL,Tygantik,0,47,
00FDSYrMhaUCdQVx1nrKfk,董远,0,1,
00FH4W7cU0Tqc4BMiGW8QK,J-Ricch,10,134,
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,89,30603103,art pop
00hfgQ2X51tWfSdzzSWh0S,Prengky Gantay,17,723,
00hsXw2fR74OPKeqsznTe6,The Red Velvetines,0,20,
00hT5p6hqqozRfTATIF2zC,Kipinät-kuoro,4,149,
00IeaaFEvmO2e1xAcVDYq4,Wild Child Ty,12,531,
00IwRuoCtg1U25AGQxDleF,Future Static,27,4780,
00JAfwtx5gNiiqyor88Dr5,Arooj Aftab,38,176544,pakistani indie
00jp7LJLgYk2lhKH2Q8Kia,Sám Smits,1,58,
00kbZyOSAQszd3knUgqYTG,Miguel Ángel Alfaro,2,36,
00lNmAV5pEluqL2wuV6zi4,Soul Varti,8,627,
00loASCPB4IT1uLv358KAK,All The Time,0,129,
00LY9cN1x8xfhdAa1YJiyw,Gould Piano Trio,13,903,classical piano trio
00mcxTiqpK3sIKC1DXftKW,Little King,13,797,
00mENExqEcJTzXYeYrdaZp,Arinagshin,0,12,
00MEqfeoDRaf15ND8o2ZEK,Underachievers,0,13,
00mnbjXQgZGnW3GK776ctS,venza,0,5,
00nDXmI902QlDjTzsj6XG3,Scott Labbe,25,994,
00nqgfofRRtSIfMzYX9CCy,PARTHOB,34,592,
00NQX2DhrCpoRuvwgG5y13,Gjorgji Škrbec,1,43,
00oL7zWxmWveTsKF7DnIRd,Kyle Dixon & Michael Stein,51,111305,horror synth
00OvHgB1VmL0AfAhlUCnoR,Essene,22,9292,
00Ow3hbpMCpZeCO0k6c4zC,Tribute Hits Band,0,80,fake
00pMi7lCPYdGKatHrnliwG,Jay Yuchikage,6,316,
00pqt8DDwm58i5tSxZi2wc,Ryan Jewel,16,562,
00Pvm3LeCoHYBg9PAXXjty,Megan and the Vegans,0,347,sydney indie
